method_label,method_id,method_name,run_stage,checkpoint_used,checkpoint_path,checkpoint_env_steps,checkpoint_train_episode_idx,episode_index,seed,episode_seed,episode_reward,episode_length,final_coverage,success,repeat_visit_ratio,done_reason,timeout_flag,zero_info_step_count,stall_trigger_count,recent_revisit_trigger_count,turn_ge_90_count,turn_135_count,turn_180_count,accessible_block_count,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,empty_info_reward_sum,info_reward_sum,local_frontier_block_area_mean,local_frontier_coverage,mean_block_area,obstacle_info_contribution_ratio,obstacle_info_gain_sum,obstacle_info_reward_sum,recent_revisit_penalty_sum,semantic_viz,step_penalty_sum,terminal_bonus_sum,timeout_penalty_sum,total_accessible_unknown_area,total_frontier_cluster_count,turn_penalty_sum,turn_penalty_weight_sum,value_block_cap_hit_flag,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,value_packed_block_count,value_packed_entry_count,value_total_block_count_before_cap,value_total_entry_count_before_cap,value_truncated_block_count,value_truncated_entry_count,weighted_info_gain_sum,weighted_obstacle_info_gain_sum
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,20,20261343,20261343,-39.083401973778706,600,0.5622,0,0.8585690515806988,max_episode_steps,1.0,530.0,523.0,514.0,548.0,8.0,514.0,,737.0,180.0,23.459438611745366,72.72425969641067,76.27659802622176,,,,0.04657179818887452,5.72957795130823,3.552338329811105,-61.67999999999945,,-11.999999999999833,0.0,-10.0,,,-31.67999999999971,528.0,,,,,,0.0,0.0,,,,,24.605354202007018,1.1459155902616471
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,21,20261344,20261344,-75.8622495830222,600,0.401,0,0.9234608985024958,max_episode_steps,1.0,555.0,548.0,555.0,571.0,1.0,555.0,,450.0,100.0,14.323944878270582,44.404229122638824,46.37775041697832,,,,0.042553191489361666,3.183098861837905,1.9735212943395015,-66.5999999999995,,-11.999999999999833,0.0,-10.0,,,-33.639999999999766,560.6666666666666,,,,,,0.0,0.0,,,,,14.960564650638164,0.6366197723675814
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,22,20261345,20261345,17.465132359575602,600,0.8146,0,0.8519134775374376,max_episode_steps,1.0,513.0,504.0,512.0,541.0,4.0,512.0,,1304.0,183.0,41.50760915836631,128.67358839093558,132.28513235957683,,,,0.027301208414142922,5.82507091716337,3.61154396864129,-61.43999999999946,,-11.999999999999833,0.0,-10.0,,,-31.379999999999715,523.0,,,,,,0.0,0.0,,,,,42.67262334179897,1.165014183432674
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,23,20261346,20261346,-68.79160663740006,600,0.4163,0,0.9334442595673876,max_episode_steps,1.0,561.0,554.0,561.0,578.0,0.0,561.0,,532.0,103.0,16.934085944977664,52.49566642943078,54.52839336260043,,,,0.0372783206659428,3.2785918276930417,2.0327269331696867,-67.31999999999952,,-11.999999999999833,0.0,-10.0,,,-33.99999999999978,566.6666666666666,,,,,,0.0,0.0,,,,,17.589804310516275,0.6557183655386091
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,24,20261347,20261347,-61.307669140455474,600,0.3575,0,0.9484193011647255,max_episode_steps,1.0,576.0,569.0,570.0,577.0,382.0,0.0,,477.0,61.0,15.18338157096681,47.06848286999713,48.272330859544226,,,,0.024938675388389207,1.9416903057211228,1.2038479895470966,-68.39999999999957,,-11.999999999999833,0.0,-10.0,,,-19.17999999999975,319.6666666666668,,,,,,0.0,0.0,,,,,15.571719632111037,0.3883380611442247
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,25,20261348,20261348,-61.974749773174025,600,0.4514,0,0.9267886855241264,max_episode_steps,1.0,559.0,550.0,557.0,580.0,3.0,555.0,,592.0,117.0,18.843945262080403,58.41623031244931,60.725250226826525,,,,0.038024049398765004,3.724225668350349,2.3090199143772177,-66.8399999999995,,-11.999999999999833,0.0,-10.0,,,-33.85999999999977,564.3333333333333,,,,,,0.0,0.0,,,,,19.588790395750475,0.7448451336700703
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,26,20261349,20261349,-83.54466697543697,600,0.3266,0,0.9417637271214643,max_episode_steps,1.0,568.0,561.0,566.0,579.0,0.0,566.0,,397.0,72.0,12.63690248149649,39.17439769263914,40.59533302456357,,,,0.03500243072435584,2.291831180523292,1.4209353319244415,-67.91999999999955,,-11.999999999999833,0.0,-10.0,,,-34.219999999999786,570.3333333333333,,,,,,0.0,0.0,,,,,13.09526871760115,0.45836623610465865
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,27,20261350,20261350,39.748660363575596,600,0.9177,0,0.778702163061564,max_episode_steps,1.0,474.0,460.0,468.0,515.0,0.0,468.0,,1424.0,325.0,45.327327792571786,140.51471615697264,146.92866036357594,,,,0.043653458697112124,10.345071300973197,6.413944206603381,-56.15999999999957,,-11.999999999999833,0.0,-10.0,,,-29.019999999999765,483.66666666666663,,,,,,0.0,0.0,,,,,47.396342052766435,2.069014260194639
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,28,20261351,20261351,3.783863622784068,600,0.7293,0,0.8552412645590682,max_episode_steps,1.0,515.0,506.0,514.0,547.0,0.0,514.0,,1170.0,178.0,37.24225668350352,115.45099571886094,118.96386362278517,,,,0.029528865295288642,5.6659159740714715,3.5128679039243145,-61.67999999999945,,-11.999999999999833,0.0,-10.0,,,-31.499999999999712,525.0,,,,,,0.0,0.0,,,,,38.37543987831782,1.1331831948142945
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,29,20261352,20261352,13.387092530821135,600,0.7802,0,0.848585690515807,max_episode_steps,1.0,515.0,503.0,510.0,534.0,0.0,510.0,,1246.0,239.0,39.661411818500305,122.95037663735097,127.66709253082239,,,,0.036945432060596695,7.607606279792592,4.71671589347141,-61.19999999999946,,-11.999999999999833,0.0,-10.0,,,-31.07999999999972,518.0,,,,,,0.0,0.0,,,,,41.18293307445884,1.5215212559585196
